지점번호,지점,날짜,시간,기온 (℃),일강수량 (mm),풍속 (m/s),고급휘발유,보통휘발유,자동차용경유,실내등유
400,강남,2016-01-01,0,0.7,0,0.9,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,1,0.4,0,0.3,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,2,-0.4,0,1.5,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,3,-1,0,1.5,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,4,-1.3,0,1.4,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,5,-1.7,0,1.9,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,6,-1.8,0,1,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,7,-1.7,0,1.4,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,8,-2,0,1.8,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,9,-1.8,0,1.8,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,10,-0.5,0,1.4,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,11,1.2,0,1.1,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,12,2.2,0,1.1,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,13,3.8,0,0.9,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,14,4,0,1.6,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,15,4.9,0,1.5,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,16,4.9,0,1.6,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,17,4.8,0,1.2,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,18,4.8,0,1,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,19,4.8,0,1.1,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,20,4.8,0,0.9,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,21,4.9,0,0.7,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,22,4.9,0,1,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-01,23,4.9,0,1.4,1780.99,1407.15,1188.71,835.38
400,강남,2016-01-02,0,4.6,0,0.8,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,1,4.9,0,1,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,2,4.7,0,1.5,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,3,4.5,0,1.4,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,4,4.3,0,1.2,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,5,4.1,0,1.5,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,6,4,0,0.8,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,7,3.8,0,1.2,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,8,3.8,0,0.9,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,9,4.3,0,1.2,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,10,5.2,0,0.7,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,11,6.4,0,0.7,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,12,7.1,0,1.1,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,13,8.1,0,0.8,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,14,9.1,0,2.1,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,15,10,0,2.3,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,16,9.8,0,1.5,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,17,9.9,0,1.4,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,18,9.9,0,1.9,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,19,9.2,0,0.5,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,20,9,0,0.9,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,21,8.9,0,1.7,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,22,8.6,0,0.6,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-02,23,8.8,0,1.4,1781.69,1405.98,1187.91,834.11
400,강남,2016-01-03,0,8.4,0,0.9,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,1,8,0,0.5,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,2,7.9,0,0.1,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,3,7.5,0,0.1,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,4,6.3,0,0.4,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,5,6.6,0,0,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,6,6.8,0,0.9,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,7,6.6,0,0.6,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,8,6.6,0,0.4,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,9,6.5,0,0.7,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,10,7.2,0,0.7,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,11,7.9,0,1.4,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,12,8.4,0,0.3,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,13,9.1,0,1,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,14,9.3,0,1.2,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,15,9.8,0,0.6,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,16,9.3,0,1,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,17,8.7,0,1.3,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,18,8.4,0,1.2,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,19,8.1,0,0.8,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,20,7.9,0,1.8,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,21,7.5,0,1.4,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,22,7.5,0,1.6,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-03,23,7.2,0,1.6,1780.84,1405.33,1187.1,833.42
400,강남,2016-01-04,0,6.7,0,2,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,1,6.1,0,1.5,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,2,5.9,0,1.2,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,3,5.9,0,1,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,4,6,0,2,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,5,5.1,0,2.5,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,6,4.6,0,2.1,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,7,3.7,0,2.7,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,8,3.1,0,1.5,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,9,3.1,0,2.7,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,10,3.4,0,3,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,11,3.8,0,2.8,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,12,4.9,0,2.6,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,13,5,0,2.8,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,14,5.3,0,3,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,15,5,0,3.5,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,16,4.8,0,2.9,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,17,3.6,0,3,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,18,2.9,0,2.9,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,19,2.4,0,2.1,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,20,1.7,0,2.2,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,21,1.3,0,2.6,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,22,0.8,0,3,1780.73,1403.84,1185.85,832
400,강남,2016-01-04,23,-0.2,0,2.5,1780.73,1403.84,1185.85,832
400,강남,2016-01-05,0,-0.7,0,2.7,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,1,-1.2,0,2.8,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,2,-1.5,0,1.6,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,3,-1.5,0,1.3,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,4,-1.8,0,1.1,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,5,-2,0,1.3,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,6,-2.3,0,2.5,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,7,-2.3,0,1.6,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,8,-2.4,0,1.4,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,9,-2.3,0,1.2,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,10,-1.7,0,1.6,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,11,-1.2,0,3.1,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,12,-0.7,0,2.1,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,13,0,0,1.8,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,14,0.8,0,1.7,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,15,0.8,0,3.3,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,16,0.9,0,3.2,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,17,0.2,0,3,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,18,0,0,3.1,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,19,-0.3,0,2.1,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,20,-0.6,0,1.6,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,21,-0.7,0,0.9,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,22,-0.8,0,1.3,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-05,23,-0.9,0,0.8,1779.6,1402.25,1184.01,830.39
400,강남,2016-01-06,0,-1,0,1.1,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,1,-1.4,0,1,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,2,-1.7,0,1.7,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,3,-2.4,0,1.4,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,4,-2.2,0,1.3,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,5,-2.1,0,1,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,6,-1.9,0,1.3,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,7,-1.8,0,0.6,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,8,-1.5,0,0.7,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,9,-1.1,0,1.1,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,10,-0.7,0,1.8,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,11,-0.2,0,1.8,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,12,0.7,0,1.3,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,13,1.9,0,2,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,14,2,0,1.7,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,15,2.2,0,1.8,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,16,2.4,0,1.7,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,17,1.9,0,2.2,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,18,1.7,0,2.4,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,19,1.4,0,3,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,20,0.9,0,1.5,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,21,0.3,0,2.1,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,22,-0.2,0,2,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-06,23,-0.8,0,1.6,1779.69,1400.78,1182.44,828.66
400,강남,2016-01-07,0,-1.4,0,1.6,1776.63,1399.15,1180.44,826.77
