역명,날짜,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,00~01,01~02
서울역(150),2016-10-01,승차,630,509,"1,068","2,387","3,272","3,216","4,369","4,950","4,827","3,785","5,523","5,175","4,817","4,402","3,361","2,715","3,044","2,928","1,237",71,0
서울역(150),2016-10-01,하차,268,"2,100","2,222","2,783","3,689","3,680","3,265","3,968","3,752","3,976","4,113","4,086","4,000","3,569","3,005","2,295","2,219","1,845","1,113",270,0
서울역(150),2016-10-02,승차,407,360,673,"1,313","1,945","2,361","3,055","3,329","2,940","2,699","3,399","3,313","3,405","3,119","2,913","2,498","3,208","2,838","1,040",49,0
서울역(150),2016-10-02,하차,179,"1,068","1,285","1,678","2,129","2,287","2,010","2,559","2,698","2,531","2,861","2,883","2,800","2,753","2,130","1,693","1,609","1,131",668,217,0
서울역(150),2016-10-03,승차,432,351,563,"1,216","1,827","2,374","3,110","3,801","3,534","3,077","4,757","4,425","4,371","3,920","3,203","3,045","3,681","2,451","1,200",43,0
서울역(150),2016-10-03,하차,211,992,"1,417","1,862","2,250","2,617","2,791","3,209","3,279","3,152","3,327","3,390","3,254","3,367","2,285","2,030","1,803","1,316",595,157,0
서울역(150),2016-10-04,승차,551,668,"2,404","4,131","2,855","2,623","3,290","3,571","3,401","2,793","3,828","3,596","4,646","8,910","5,337","3,793","3,843","2,565","1,145",186,0
서울역(150),2016-10-04,하차,428,"2,420","5,679","10,934","5,460","3,060","2,582","2,537","2,504","2,381","2,679","2,772","3,275","3,562","2,939","1,759","1,552","1,390",735,279,23
서울역(150),2016-10-05,승차,473,582,"2,037","3,474","2,812","2,146","2,863","3,151","2,254","2,348","3,061","3,175","4,625","9,156","5,898","3,788","3,650","2,527","1,492",234,0
서울역(150),2016-10-05,하차,315,"1,868","5,000","10,823","5,317","2,717","2,282","2,284","2,404","2,399","2,482","2,688","3,068","3,610","2,611","1,856","1,527","1,384",900,354,24
서울역(150),2016-10-06,승차,466,632,"2,042","3,638","2,728","2,493","3,117","3,709","3,209","2,832","3,893","4,013","5,093","9,792","5,607","3,791","4,323","2,703","1,518",253,0
서울역(150),2016-10-06,하차,303,"1,955","4,932","11,342","5,369","3,036","2,542","2,373","2,655","2,480","2,658","2,945","3,146","3,714","2,755","1,731","1,638","1,642",974,404,26
서울역(150),2016-10-07,승차,510,578,"1,905","3,585","2,911","2,532","3,465","3,790","3,481","3,164","4,605","4,959","6,038","12,551","6,093","4,378","4,813","4,738","2,522",464,0
서울역(150),2016-10-07,하차,285,"1,844","4,606","11,048","5,095","3,146","2,833","2,667","2,929","3,038","3,260","3,556","3,905","5,136","3,748","2,422","2,070","1,999","1,239",555,33
서울역(150),2016-10-08,승차,565,492,"1,172","2,649","3,443","3,802","4,346","5,232","5,010","4,027","6,013","6,183","5,718","5,174","4,250","3,374","3,816","3,598","1,407",95,0
서울역(150),2016-10-08,하차,251,"1,770","2,242","2,574","3,678","3,585","3,094","3,813","3,909","4,392","4,290","4,527","4,228","3,986","3,331","3,025","3,729","2,900","1,186",426,0
서울역(150),2016-10-09,승차,444,368,636,"1,745","2,306","2,782","3,165","3,468","3,068","2,666","3,728","4,322","3,938","3,812","3,436","3,045","3,342","3,018",958,30,0
서울역(150),2016-10-09,하차,176,"1,096","1,322","1,765","2,025","2,300","2,183","2,512","2,920","3,789","3,548","3,650","3,596","3,597","2,874","2,275","1,835","1,343",548,181,0
서울역(150),2016-10-10,승차,561,687,"2,962","4,034","2,824","2,553","3,449","3,668","3,248","3,011","3,938","3,589","5,004","9,554","5,419","3,880","3,801","2,557","1,423",213,0
서울역(150),2016-10-10,하차,421,"2,573","5,613","11,299","5,437","3,074","2,759","2,534","2,871","2,543","2,813","2,983","3,152","3,951","2,790","1,903","1,665","1,463",663,269,15
서울역(150),2016-10-11,승차,508,574,"1,833","3,813","2,537","2,423","2,972","3,196","3,108","2,721","3,696","3,741","5,316","9,806","5,295","3,763","3,739","2,445","1,296",201,0
서울역(150),2016-10-11,하차,377,"1,857","5,211","10,541","5,777","3,073","2,534","2,474","2,711","2,471","2,670","2,790","3,080","3,828","2,601","1,670","1,525","1,652",714,253,12
서울역(150),2016-10-12,승차,479,563,"1,974","3,527","2,741","2,348","3,042","3,386","3,005","2,894","3,453","3,704","5,386","10,148","5,193","3,746","3,764","2,552","1,324",214,1
서울역(150),2016-10-12,하차,305,"1,823","5,305","11,138","5,441","2,876","2,511","2,406","2,580","2,380","2,691","2,695","3,044","3,928","2,637","1,723","1,570","1,414",839,328,29
서울역(150),2016-10-13,승차,491,599,"1,931","3,694","2,808","2,310","3,113","3,570","3,145","2,833","3,848","3,849","5,313","9,610","5,631","3,530","4,550","2,715","1,420",250,0
서울역(150),2016-10-13,하차,315,"2,035","5,201","10,976","5,299","2,972","2,518","2,558","2,604","2,468","2,754","2,866","3,294","3,986","2,779","1,843","1,654","1,685",851,352,29
서울역(150),2016-10-14,승차,502,574,"1,869","3,658","2,799","2,453","3,243","3,864","3,332","3,144","4,912","5,731","5,983","11,329","5,838","4,282","4,185","4,549","2,409",326,0
서울역(150),2016-10-14,하차,313,"1,831","4,397","9,837","5,536","2,920","2,704","2,737","2,963","3,060","3,517","3,514","3,949","5,536","3,729","2,327","1,968","2,141","1,089",485,60
서울역(150),2016-10-15,승차,586,496,982,"2,396","3,183","3,223","4,193","4,845","4,713","3,894","5,397","5,220","4,944","4,481","3,782","3,281","3,602","3,022","1,234",67,0
서울역(150),2016-10-15,하차,259,"2,370","2,268","2,874","3,685","3,246","3,238","3,824","3,783","3,692","4,036","3,819","3,853","3,802","2,886","2,245","2,228","1,740","1,021",297,0
서울역(150),2016-10-16,승차,423,345,660,"1,276","1,929","2,218","3,053","3,411","2,994","2,876","4,424","4,504","4,025","3,733","3,481","2,697","3,370","3,314","1,135",50,0
서울역(150),2016-10-16,하차,161,"1,069","1,243","1,655","2,021","2,271","1,932","2,635","2,876","3,372","3,478","3,630","3,339","3,443","2,754","2,182","1,823","1,218",573,145,0
서울역(150),2016-10-17,승차,554,626,"2,588","4,293","2,787","2,523","3,243","3,504","3,015","2,749","3,493","3,516","4,750","9,234","5,355","3,235","3,427","2,221","1,139",163,0
서울역(150),2016-10-17,하차,427,"2,680","5,632","9,070","4,523","2,979","2,275","2,508","2,423","2,586","2,635","2,613","3,091","3,613","2,566","1,613","1,466","1,369",689,227,17
서울역(150),2016-10-18,승차,498,626,"1,933","3,665","2,897","2,358","3,112","3,404","3,109","2,743","3,588","3,582","5,011","9,646","5,255","3,736","3,811","2,251","1,148",244,0
서울역(150),2016-10-18,하차,328,"2,036","4,923","10,969","5,249","2,876","2,522","2,442","2,748","2,424","2,655","2,721","3,077","3,576","2,641","1,710","1,566","1,384",737,272,20
