역명,날짜,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,00~01,01~02
서울역(150),2016-07-01,승차,436,553,"1,736","3,165","2,335","2,364","2,955","3,664","3,425","3,157","4,629","4,917","5,715","11,425","6,182","4,219","5,023","4,367","2,381",334,0
서울역(150),2016-07-01,하차,307,"1,700","5,147","9,649","5,225","3,117","2,790","2,594","2,838","2,912","3,534","3,636","3,350","4,770","3,703","2,390","2,166","1,818",960,438,40
서울역(150),2016-07-02,승차,471,430,804,"1,948","2,791","2,680","3,939","4,553","4,716","3,545","4,689","4,370","4,261","4,094","3,125","2,596","2,727","2,778","1,193",42,0
서울역(150),2016-07-02,하차,237,"1,363","1,942","2,371","3,237","3,216","2,826","3,062","3,310","3,406","3,518","3,386","3,329","3,069","2,345","1,999","1,981","1,740",886,293,0
서울역(150),2016-07-03,승차,370,303,554,"1,197","1,698","2,103","2,731","3,035","3,104","2,561","4,356","4,066","3,432","3,713","3,238","2,749","3,171","3,268","1,193",40,0
서울역(150),2016-07-03,하차,156,825,"1,071","1,413","1,982","2,031","1,876","2,313","2,509","2,775","3,075","3,110","3,146","2,887","2,604","2,135","1,818","1,253",599,163,0
서울역(150),2016-07-04,승차,536,635,"2,654","4,162","2,897","2,438","3,026","3,395","3,254","2,589","3,751","3,790","4,591","9,349","5,475","3,354","3,566","2,264","1,290",207,0
서울역(150),2016-07-04,하차,444,"2,498","5,888","10,803","4,703","2,865","2,469","2,432","2,480","2,429","2,628","2,464","2,731","3,004","2,449","1,674","1,373","1,220",573,209,17
서울역(150),2016-07-05,승차,390,485,"1,807","3,377","2,325","2,295","2,710","3,251","2,990","2,427","3,203","3,437","4,569","9,358","5,321","3,293","3,632","2,355","1,236",200,1
서울역(150),2016-07-05,하차,294,"1,639","4,734","10,335","5,193","2,904","2,326","2,176","2,428","2,269","2,532","2,520","2,663","2,939","2,110","1,590","1,416","1,148",637,244,8
서울역(150),2016-07-06,승차,428,533,"1,891","3,460","2,516","2,380","2,772","3,423","2,822","3,385","3,776","3,879","5,436","9,770","5,207","3,616","3,553","2,536","1,441",207,0
서울역(150),2016-07-06,하차,311,"1,723","5,187","10,721","4,886","2,688","2,403","2,438","2,535","2,633","2,697","2,933","2,819","3,407","2,616","1,684","1,536","1,476",762,288,26
서울역(150),2016-07-07,승차,441,547,"1,915","3,480","2,525","2,402","3,073","3,428","3,326","2,740","3,819","3,814","4,907","9,499","5,352","3,717","3,882","2,757","1,497",247,0
서울역(150),2016-07-07,하차,274,"1,889","5,101","10,353","5,458","2,664","2,519","2,556","2,684","2,411","2,734","2,786","2,862","3,331","2,465","1,836","1,582","1,543",753,294,20
서울역(150),2016-07-08,승차,496,526,"1,888","3,456","2,534","2,443","3,265","3,651","3,736","3,003","4,508","4,946","6,197","11,118","6,301","3,964","4,628","4,233","2,045",289,0
서울역(150),2016-07-08,하차,329,"1,788","5,003","10,096","5,156","3,111","2,751","2,653","3,003","3,044","3,351","3,521","3,529","4,981","3,693","2,357","2,086","1,974","1,067",477,38
서울역(150),2016-07-09,승차,594,467,908,"2,038","2,699","2,850","3,915","4,708","4,471","3,529","4,262","4,427","4,219","3,942","3,281","2,722","3,004","2,694","1,142",33,0
서울역(150),2016-07-09,하차,285,"1,491","2,245","2,677","3,536","3,272","2,896","3,246","3,058","3,239","3,285","3,338","3,310","3,143","2,326","2,021","1,962","1,810",937,273,0
서울역(150),2016-07-10,승차,392,337,564,"1,158","1,641","1,852","2,629","2,789","3,110","2,477","4,112","3,794","3,590","3,372","3,244","2,541","3,148","2,895","1,065",19,0
서울역(150),2016-07-10,하차,173,766,"1,010","1,306","1,762","1,957","1,755","2,135","2,481","2,481","2,753","3,141","2,892","3,098","2,472","2,058","1,706","1,139",520,157,0
서울역(150),2016-07-11,승차,553,617,"2,592","4,133","2,775","2,448","3,223","3,581","3,126","2,783","3,598","3,614","4,846","9,410","5,212","3,558","3,435","2,264","1,215",191,0
서울역(150),2016-07-11,하차,460,"2,490","5,951","10,592","4,928","3,013","2,495","2,501","2,685","2,373","2,434","2,731","2,790","3,093","2,387","1,656","1,408","1,275",571,257,15
서울역(150),2016-07-12,승차,473,567,"1,909","3,374","2,470","2,486","2,886","3,419","3,217","2,614","3,680","3,670","4,934","9,366","5,379","3,668","3,858","2,542","1,323",221,0
서울역(150),2016-07-12,하차,286,"1,695","5,306","10,781","4,848","2,985","2,472","2,380","2,528","2,629","2,622","2,834","2,693","3,085","2,357","1,676","1,438","1,354",671,228,14
서울역(150),2016-07-13,승차,486,561,"1,914","3,497","2,444","2,360","3,021","3,194","3,244","2,551","3,537","3,859","5,189","9,967","5,207","3,463","3,614","2,491","1,279",210,0
