지점번호,지점,날짜,시간,일시,기온 (℃),일강수량 (mm),풍속 (m/s)
400,강남,2016-03-01,00,2016-03-01 00,-3.4,0,1.6
400,강남,2016-03-01,01,2016-03-01 01,-3.6,0,2.4
400,강남,2016-03-01,02,2016-03-01 02,-3.9,0,2.5
400,강남,2016-03-01,03,2016-03-01 03,-3.9,0,2.1
400,강남,2016-03-01,04,2016-03-01 04,-4.3,0,2.2
400,강남,2016-03-01,05,2016-03-01 05,-4.4,0,1.7
400,강남,2016-03-01,06,2016-03-01 06,-4.4,0,1.6
400,강남,2016-03-01,07,2016-03-01 07,-4.6,0,1.4
400,강남,2016-03-01,08,2016-03-01 08,-4.4,0,1.5
400,강남,2016-03-01,09,2016-03-01 09,-3.3,0,1.6
400,강남,2016-03-01,10,2016-03-01 10,-2.3,0,2.1
400,강남,2016-03-01,11,2016-03-01 11,-1.4,0,1.7
400,강남,2016-03-01,12,2016-03-01 12,-0.1,0,1.9
400,강남,2016-03-01,13,2016-03-01 13,0.7,0,2.3
400,강남,2016-03-01,14,2016-03-01 14,1.2,0,3.3
400,강남,2016-03-01,15,2016-03-01 15,1.7,0,2.3
400,강남,2016-03-01,16,2016-03-01 16,1.3,0,3.1
400,강남,2016-03-01,17,2016-03-01 17,1.2,0,2.9
400,강남,2016-03-01,18,2016-03-01 18,1,0,2.7
400,강남,2016-03-01,19,2016-03-01 19,0.7,0,2.4
400,강남,2016-03-01,20,2016-03-01 20,0.5,0,2.5
400,강남,2016-03-01,21,2016-03-01 21,0.5,0,1.7
400,강남,2016-03-01,22,2016-03-01 22,0.4,0,1.6
400,강남,2016-03-01,23,2016-03-01 23,0.1,0,0.9
400,강남,2016-03-02,00,2016-03-02 00,-0.2,0,1.1
400,강남,2016-03-02,01,2016-03-02 01,-0.3,0,1.5
400,강남,2016-03-02,02,2016-03-02 02,-0.4,0,1.8
400,강남,2016-03-02,03,2016-03-02 03,-0.4,0,1.6
400,강남,2016-03-02,04,2016-03-02 04,-0.1,0,1.5
400,강남,2016-03-02,05,2016-03-02 05,0.1,0,0.8
400,강남,2016-03-02,06,2016-03-02 06,0.1,0,0.4
400,강남,2016-03-02,07,2016-03-02 07,0.3,0,1.2
400,강남,2016-03-02,08,2016-03-02 08,0.7,0,1.2
400,강남,2016-03-02,09,2016-03-02 09,1.4,0,1.3
400,강남,2016-03-02,10,2016-03-02 10,2.2,0,1.3
400,강남,2016-03-02,11,2016-03-02 11,3.2,0,2
400,강남,2016-03-02,12,2016-03-02 12,4,0,2.4
400,강남,2016-03-02,13,2016-03-02 13,5.6,0,2.7
400,강남,2016-03-02,14,2016-03-02 14,6.9,0,2.9
400,강남,2016-03-02,15,2016-03-02 15,8.3,0,3.2
400,강남,2016-03-02,16,2016-03-02 16,8.7,0,3.6
400,강남,2016-03-02,17,2016-03-02 17,7.8,0,4
400,강남,2016-03-02,18,2016-03-02 18,7.1,0,3.1
400,강남,2016-03-02,19,2016-03-02 19,6.1,0,3.3
400,강남,2016-03-02,20,2016-03-02 20,5.6,0,2.8
400,강남,2016-03-02,21,2016-03-02 21,5.4,0,1.2
400,강남,2016-03-02,22,2016-03-02 22,5.4,0,1.6
400,강남,2016-03-02,23,2016-03-02 23,5.4,0,2.1
400,강남,2016-03-03,00,2016-03-03 00,5.6,0,1.7
400,강남,2016-03-03,01,2016-03-03 01,5.4,0,1.3
400,강남,2016-03-03,02,2016-03-03 02,5.4,0,2
400,강남,2016-03-03,03,2016-03-03 03,5.4,0,1.5
400,강남,2016-03-03,04,2016-03-03 04,5.4,0,1.1
400,강남,2016-03-03,05,2016-03-03 05,5.2,0,1.4
400,강남,2016-03-03,06,2016-03-03 06,5.2,0,2.3
400,강남,2016-03-03,07,2016-03-03 07,5.4,0,1.5
400,강남,2016-03-03,08,2016-03-03 08,5.8,0,1.5
400,강남,2016-03-03,09,2016-03-03 09,6.1,0,1.5
400,강남,2016-03-03,10,2016-03-03 10,7.5,0,1.3
400,강남,2016-03-03,11,2016-03-03 11,8.5,0,1.2
400,강남,2016-03-03,12,2016-03-03 12,8.9,0,1.4
400,강남,2016-03-03,13,2016-03-03 13,10.5,0,1.8
400,강남,2016-03-03,14,2016-03-03 14,12.1,0,1.3
400,강남,2016-03-03,15,2016-03-03 15,12.4,0,1.1
400,강남,2016-03-03,16,2016-03-03 16,12.5,0,1.6
400,강남,2016-03-03,17,2016-03-03 17,12.7,0,1.3
400,강남,2016-03-03,18,2016-03-03 18,12,0,1.6
400,강남,2016-03-03,19,2016-03-03 19,11.1,0,1.3
400,강남,2016-03-03,20,2016-03-03 20,10.5,0,0.7
400,강남,2016-03-03,21,2016-03-03 21,9.9,0,1
400,강남,2016-03-03,22,2016-03-03 22,9.1,0,0.1
400,강남,2016-03-03,23,2016-03-03 23,8.9,0,2.5
400,강남,2016-03-04,00,2016-03-04 00,8.4,0,0.7
400,강남,2016-03-04,01,2016-03-04 01,8,0,1.4
400,강남,2016-03-04,02,2016-03-04 02,7.6,0,1.7
400,강남,2016-03-04,03,2016-03-04 03,7.8,0,1.6
400,강남,2016-03-04,04,2016-03-04 04,7.8,0,1.5
400,강남,2016-03-04,05,2016-03-04 05,7.2,0,1.5
400,강남,2016-03-04,06,2016-03-04 06,7,0,1.3
400,강남,2016-03-04,07,2016-03-04 07,6.7,0,1.4
400,강남,2016-03-04,08,2016-03-04 08,7.1,0,1.2
400,강남,2016-03-04,09,2016-03-04 09,8.1,0,1.7
400,강남,2016-03-04,10,2016-03-04 10,10,0,1.5
400,강남,2016-03-04,11,2016-03-04 11,12.3,0,1.7
400,강남,2016-03-04,12,2016-03-04 12,14.5,0,2
400,강남,2016-03-04,13,2016-03-04 13,16.3,0,1.7
400,강남,2016-03-04,14,2016-03-04 14,17,0,2.3
400,강남,2016-03-04,15,2016-03-04 15,18.1,0,1.9
400,강남,2016-03-04,16,2016-03-04 16,19.5,0,0.9
400,강남,2016-03-04,17,2016-03-04 17,18.4,0,1.4
400,강남,2016-03-04,18,2016-03-04 18,17.6,0,1.3
400,강남,2016-03-04,19,2016-03-04 19,16.7,0,0.7
400,강남,2016-03-04,20,2016-03-04 20,16,0,1.5
400,강남,2016-03-04,21,2016-03-04 21,15.4,0,1.6
400,강남,2016-03-04,22,2016-03-04 22,14.7,0,1.4
400,강남,2016-03-04,23,2016-03-04 23,14.3,0,1
400,강남,2016-03-05,00,2016-03-05 00,13.8,0,1.1
400,강남,2016-03-05,01,2016-03-05 01,12.3,6,0.9
400,강남,2016-03-05,02,2016-03-05 02,12,6.5,1.3
400,강남,2016-03-05,03,2016-03-05 03,12,6.5,1
