지점번호,지점,날짜,시간,기온 (℃),일강수량 (mm),풍속 (m/s)
400,강남,2016-08-01,00,27.4,0,0.8
400,강남,2016-08-01,01,27.3,0,0.4
400,강남,2016-08-01,02,26.6,0,0.8
400,강남,2016-08-01,03,26.3,0,0.9
400,강남,2016-08-01,04,26,0,1.1
400,강남,2016-08-01,05,25.6,0,1.2
400,강남,2016-08-01,06,25.7,0,1.1
400,강남,2016-08-01,07,25.7,0,1.6
400,강남,2016-08-01,08,26.8,0,1.1
400,강남,2016-08-01,09,27.9,0,1.6
400,강남,2016-08-01,10,28.8,0,1.1
400,강남,2016-08-01,11,30.7,0,0.8
400,강남,2016-08-01,12,31.2,0,1.4
400,강남,2016-08-01,13,32.2,0,2.4
400,강남,2016-08-01,14,32.1,0,2.3
400,강남,2016-08-01,15,31.5,0,2.1
400,강남,2016-08-01,16,32.3,0,2.2
400,강남,2016-08-01,17,30.8,0,2.9
400,강남,2016-08-01,18,30.8,0,2.4
400,강남,2016-08-01,19,28.1,0,2.8
400,강남,2016-08-01,20,28.2,0,0.8
400,강남,2016-08-01,21,27.2,0,2.9
400,강남,2016-08-01,22,27.1,0,0.5
400,강남,2016-08-01,23,26.7,0,1.1
400,강남,2016-08-02,00,26.2,0,1.4
400,강남,2016-08-02,01,26.5,0,1
400,강남,2016-08-02,02,26.8,0,0.1
400,강남,2016-08-02,03,26.7,0,0.6
400,강남,2016-08-02,04,25.3,0,1.6
400,강남,2016-08-02,05,25.7,0,0.6
400,강남,2016-08-02,06,25.6,0,1.1
400,강남,2016-08-02,07,25.4,0,1.1
400,강남,2016-08-02,08,26.1,0,1.6
400,강남,2016-08-02,09,27.7,0,1.4
400,강남,2016-08-02,10,29.3,0,0.7
400,강남,2016-08-02,11,29.2,0,1.2
400,강남,2016-08-02,12,29.6,0,0.9
400,강남,2016-08-02,13,30.3,0,0.8
400,강남,2016-08-02,14,30.7,0,0.7
400,강남,2016-08-02,15,31.5,0,0.4
400,강남,2016-08-02,16,31,0,0.7
400,강남,2016-08-02,17,31,0,1.1
400,강남,2016-08-02,18,24.7,6.5,3
400,강남,2016-08-02,19,24.8,7,1.3
400,강남,2016-08-02,20,25.9,7,0.2
400,강남,2016-08-02,21,26.7,7,1.1
400,강남,2016-08-02,22,27.3,7,0.2
400,강남,2016-08-02,23,27.1,7,1
400,강남,2016-08-03,00,26.8,7,0.4
400,강남,2016-08-03,01,26.6,0,1.2
400,강남,2016-08-03,02,25.8,0,1.5
400,강남,2016-08-03,03,26,0,0.2
400,강남,2016-08-03,04,25.2,0,2.1
400,강남,2016-08-03,05,25.1,0,0.7
400,강남,2016-08-03,06,24.9,0,1.1
400,강남,2016-08-03,07,25.4,0,1.7
400,강남,2016-08-03,08,26.2,0,1.7
400,강남,2016-08-03,09,28,0,1.8
400,강남,2016-08-03,10,29.2,0,2
400,강남,2016-08-03,11,30.5,0,1.7
400,강남,2016-08-03,12,31.9,0,1.2
400,강남,2016-08-03,13,32.2,0,1.6
400,강남,2016-08-03,14,32.6,0,1.2
400,강남,2016-08-03,15,33.1,0,1.2
400,강남,2016-08-03,16,33.7,0,1.7
400,강남,2016-08-03,17,33.8,0,1.7
400,강남,2016-08-03,18,33.4,0,2
400,강남,2016-08-03,19,32.3,0,2.6
400,강남,2016-08-03,20,31,0,2
400,강남,2016-08-03,21,30.5,0,2.6
400,강남,2016-08-03,22,30.3,0,1
400,강남,2016-08-03,23,29.9,0,0.9
400,강남,2016-08-04,00,29.2,0,1.3
400,강남,2016-08-04,01,28.9,0,1.5
400,강남,2016-08-04,02,28.7,0,0.8
400,강남,2016-08-04,03,27.8,0,1.6
400,강남,2016-08-04,04,27.2,0,0.9
